,state,mean_border_patrol,mean_border_milit,mean_border_legal,mean_abortion,per_capita_disposable_income,unemployment_oneyear,unemployment_fouryear,pct_below_povertylevel,electoral_result_2020,edu_expenditure,house_price,fivethirtyeight_dem,fivethirtyeight_rep,feelingtherm_dem,feelingtherm_rep,affective_polarization,state_ideology,immig_feeling_avg,harris_disbursement,trump_disbursement,white_population,nonwhite_population,age,male,female,religion_evan,electoral_college
15,Iowa,4.416666667,4.166666667,3.75,4.333333333,56247,0.1,0.2,0.11,-1,14480,308293,43,47,47.86628,39.38081,8.48547,0,1.18181818,302432.82,1568989.86,0.78,0.22,38.6,0.5,0.5,0.11,6
16,Kansas,3.454545455,2.909090909,2.454545455,2.636363636,56940,0.1,-0.5,0.11,-1,14563,231018,38.8,43.8,51.49372,36.67782,14.8159,0,1.85714286,20449,193806.88,0.63,0.37,37.4,0.5,0.5,0.17,6
17,Kentucky,4.111111111,4.333333333,3.666666667,4.111111111,48937,0.2,0.1,0.16,-1,13684,405417,29.4,51.5,47.89019,44.66822,3.22197,0,1.125,171084.33,4771.93,0.78,0.22,39.4,0.49,0.51,0.31,8
18,Louisiana,4.041666667,3.583333333,3.25,3.25,52557,0,-0.9,0.19,-1,15013,237106,35.5,50,42.11075,49.97394,-7.86319,0,1.5,13711.85,414665.07,0.5,0.5,38.1,0.49,0.51,0.25,8
19,Maine,3.545454545,2.909090909,3.090909091,2.818181818,56489,0.1,0,0.1,0,20938,287814,53.1333333,41.0666667,43.13103,40.71034,2.42069,1,1.57142857,53703.4,112.82,0.89,0.11,45.1,0.49,0.51,0.06,4
20,Maryland,3.956521739,3.47826087,3.217391304,2.739130435,63688,-0.9,-1.3,0.1,1,19215,538346,61.7057143,32.7814286,54.25156,35.93971,18.31185,2,1.42857143,2841880.19,932536,0.37,0.63,38.8,0.48,0.52,0.11,10
21,Massachusetts,4.074074074,3.37037037,3.111111111,2.666666667,74342,-0.3,0.4,0.1,1,24518,330970,62,31,53.90711,34.65613,19.25098,2,1.41176471,10345451.6,3602003.39,0.57,0.43,39.9,0.48,0.52,0.04,11
22,Michigan,4.138461538,3.6,3.446153846,3.584615385,53246,-0.2,-0.2,0.14,1,15204,287095,47.3531343,45.408169,47.63972,40.12702,7.5127,2,1.30434783,415842.43,258226.72,0.68,0.32,40.1,0.49,0.51,0.12,15
23,Minnesota,3.9,3.4,3.3,3.15,62963,0.2,-0.5,0.09,1,16186,223137,48.7733333,42.92,48.60288,39.41358,9.1893,2,1.5625,214258.57,42238.77,0.71,0.29,38.4,0.5,0.5,0.12,10
24,Mississippi,3.8,3.4,3.2,3,44436,-0.6,-2.3,0.18,-1,11457,204057,35.3,50,46.25871,45.91045,0.34826,0,1.83333333,30534.7,25000,0.52,0.48,39,0.48,0.52,0.39,6
25,Missouri,3.95,3.575,3.225,3.675,54995,0.4,-0.2,0.12,-1,13665,197639,42.14,54.58,43.46044,45.50475,-2.04431,0,1.35714286,24713.82,1156327.01,0.72,0.28,39,0.49,0.51,0.24,10
26,Montana,4,3.7,3.5,3.1,56691,0.2,-0.6,0.12,-1,15103,489162,39.86,55.14,37.60169,46.52542,-8.92373,1,1.66666667,6889,1740,0.8,0.2,40.5,0.5,0.5,0.14,4
27,Nebraska,4.416666667,4.083333333,3.416666667,4.5,61114,0.1,-0.8,0.11,0,15628,198923,43.6,46.8,47.41209,42.07143,5.34066,0,1.11111111,35204.45,47630.02,0.66,0.34,36.9,0.5,0.5,0.14,5
28,Nevada,4.107142857,3.607142857,2.928571429,3.535714286,57934,-0.1,1,0.12,1,11471,371574,46.6632353,45.5317647,47.61055,39.42965,8.1809,2,1.33333333,1402548.83,462095.59,0.22,0.78,38.6,0.5,0.5,0.07,6
29,New Hampshire,4.714285714,4.428571429,3.428571429,3,69245,-0.1,-0.4,0.07,1,22089,509955,51.0090909,44.0909091,50.43925,34.47664,15.96261,2,1.16666667,125046.66,553725.04,0.84,0.16,43.6,0.49,0.51,0.05,4
30,New Jersey,4.135135135,3.891891892,3.405405405,3.810810811,69883,0.5,0.9,0.1,1,25947,211959,40,41,52.65212,39.76852,12.8836,2,1.5,1943601.18,1421445.34,0.33,0.67,39.9,0.49,0.51,0.05,14
31,New Mexico,4,2.454545455,3.363636364,3.272727273,50029,-0.3,-1.2,0.18,1,13566,420023,48.6571429,41.0857143,47.16667,38.4693,8.69737,2,1.4,47039,1221.2,0.03,0.97,39.2,0.49,0.51,0.13,5
32,New York,3.888888889,3.820512821,3.136752137,3.948717949,66393,-0.1,0.3,0.14,1,29720,201263,53.46,39.94,56.92744,37.8647,19.06274,2,1.62105263,4645312.42,12598290.82,0.36,0.64,39,0.48,0.52,0.05,28
33,North Carolina,4.166666667,3.5625,3.166666667,3.8125,53929,-0.2,-0.4,0.13,-1,11979,175510,46.8578431,46.9839216,49.93184,42.12691,7.80493,0,1.66666667,1786183.5,576661.37,0.51,0.49,39.4,0.49,0.51,0.27,16
34,North Dakota,4,4.25,3.25,3.25,67093,-0.1,-0.3,0.1,-1,17241,216784,28,62,37.50685,44.78082,-7.27397,0,1,2500,20070.65,0.79,0.21,35.8,0.51,0.49,0.11,3
35,Ohio,4.03125,3.828125,3.34375,3.765625,54146,-0.5,-0.7,0.13,-1,16387,289509,42.7285714,52.3685714,49.42732,39.31961,10.10771,1,1.55102041,228258.58,741368.2,0.73,0.27,39.8,0.49,0.51,0.2,17
36,Oklahoma,4.4,4.3,3.65,4.45,53761,0.1,0.1,0.16,-1,11484,251113,39.9,56,41.39349,48.66272,-7.26923,0,1.68421053,177573.45,7547.88,0.52,0.48,37.3,0.5,0.5,0.42,7
37,Oregon,3.952380952,3.714285714,3.238095238,4.19047619,57306,-0.2,0,0.12,1,15739,445321,47,42,52.71283,34.9242,17.78863,2,1.41176471,137331.5,5815.18,0.61,0.39,39.9,0.5,0.5,0.13,8
38,Pennsylvania,4.206896552,3.637931034,3.396551724,3.327586207,60071,-0.7,-0.9,0.12,1,20296,156979,47.5315294,46.418427,47.30058,41.0159,6.28468,2,1.38297872,15171157.48,1104675.16,0.67,0.33,41,0.49,0.51,0.1,19
39,Rhode Island,3.75,3.75,3.75,3.25,58735,-0.2,-0.5,0.11,1,21421,833589,58,38,58.93407,31.95604,26.97803,2,2.25,8659.97,11298.24,0.55,0.45,40.5,0.48,0.52,0.04,4
40,South Carolina,3.967741935,3.419354839,3.419354839,4.064516129,50345,-0.2,0.2,0.14,-1,13824,446218,35.3,47,46.06798,45.01535,1.05263,0,1.45454546,336234.36,468213.15,0.56,0.44,40.5,0.48,0.52,0.29,9
41,South Dakota,4.6,3.9,3.3,4.1,64656,0,-0.8,0.12,-1,12636,382563,31.4,50,39.77477,46.82883,-7.05406,0,1.5,2350,NA,0.76,0.24,37.7,0.5,0.5,0.2,3
42,Tennessee,3.967741935,3.483870968,3.483870968,3.419354839,56041,-0.1,0,0.14,-1,12039,430979,36.9,63.1,44.83703,44.41772,0.41931,0,1.27777778,43677.04,135564.27,0.65,0.35,39.1,0.49,0.51,0.36,11
43,Texas,3.926174497,3.422818792,3.140939597,3.67114094,59422,0,0.4,0.14,-1,12583,450252,44.6363636,50.23,49.68237,44.00148,5.68089,0,1.52830189,763387.24,2098610.31,0.11,0.89,35.6,0.49,0.51,0.24,40
44,Utah,3.6875,3.0625,2.5625,4,55371,0.2,0.1,0.09,-1,10266,375442,26.5,55.5,45.77152,44.5596,1.21192,0,1.41666667,326817.74,783864.69,0.64,0.36,31.3,0.5,0.5,0.02,6
45,Vermont,3.75,4,3.5,5,59330,-0.3,-0.1,0.1,1,27389,299435,68.5,28,52.76364,30.05455,22.70909,1,2,9935.21,3150,0.87,0.13,43.5,0.49,0.51,0.07,3
46,Virginia,3.954545455,3.386363636,3.068181818,3.75,63625,0.1,0.1,0.1,1,15779,256457,48.683125,42.87375,49.34037,40.10554,9.23483,2,1.44827586,2011868.84,55514765.77,0.5,0.5,38.7,0.49,0.51,0.2,13
47,Washington,3.558139535,2.790697674,3.023255814,2.813953488,70589,0,-0.1,0.1,1,17783,357653,52.5,35,51.89263,37.34632,14.54631,2,2.4516129,467883.58,102084.77,0.53,0.47,38.1,0.5,0.5,0.2,12
48,West Virginia,3.857142857,3.714285714,3.214285714,3.214285714,48184,0,-1.1,0.17,-1,15123,617608,34,61,39.72772,52.63366,-12.90594,1,1.36363636,4050,93919.8,0.88,0.12,42.9,0.5,0.5,0.17,4
49,Wisconsin,4,3.620689655,3.206896552,3.620689655,57210,0.1,-0.2,0.11,1,15588,385909,48.4746479,45.590274,48.37113,37.09622,11.27491,1,1.7,941403.98,81252.42,0.73,0.27,40.1,0.5,0.5,0.15,10
50,Wyoming,3,2,2,5,69039,-0.5,-0.8,0.11,-1,20659,342630,20.2,52.6,37.01613,50.14516,-13.12903,0,2,3581,556987.5,0.74,0.26,38.7,0.51,0.49,0.11,3
